City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,claveria,18.6074,121.0832,28.66,77,21,2.4,PH,1694654050
280,astanajapura,-6.8017,108.6311,28.19,58,66,5.69,ID,1694654050
281,fale old settlement,-9.3852,-171.2468,28.39,77,8,6.18,TK,1694654051
282,pacocha,-17.5833,-71.3333,17.26,80,17,2.22,PE,1694654051
283,naze,28.3667,129.4833,29.51,78,40,4.23,JP,1694654051
284,viqueque,-8.8673,126.3658,28.08,60,57,4.2,TL,1694654051
285,fort bragg,35.139,-79.006,24.91,84,40,0.0,US,1694654051
286,chambersburg,39.9376,-77.6611,22.02,62,65,2.24,US,1694653802
287,ancud,-41.8697,-73.8203,10.57,96,100,10.79,CL,1694654052
288,burang,30.25,81.1667,9.29,81,14,1.18,CN,1694653937
289,new norfolk,-42.7826,147.0587,19.28,46,100,1.23,AU,1694654052
290,altinopolis,-21.0256,-47.3739,25.64,30,93,1.61,BR,1694654053
291,xichang,27.8964,102.2634,17.93,89,68,0.59,CN,1694654053
292,outjo,-20.1167,16.15,17.42,19,0,1.95,NA,1694654053
293,clovis,36.8252,-119.7029,33.8,22,20,4.12,US,1694653880
294,labrador city,52.9463,-66.9114,10.13,98,100,2.91,CA,1694653810
295,piti village,13.4626,144.6933,31.49,78,40,3.6,GU,1694654054
296,pangkalanbuun,-2.6833,111.6167,28.44,66,100,2.87,ID,1694654054
297,laguna,38.421,-121.4238,34.97,32,0,3.6,US,1694654054
298,ambovombe,-25.1667,46.0833,19.54,84,64,7.17,MG,1694654054
299,zhezqazghan,47.7833,67.7667,5.32,93,0,4.0,KZ,1694654054
300,motueka,-41.1333,173.0167,15.05,58,100,2.6,NZ,1694654055
301,port alfred,-33.5906,26.891,16.77,70,6,4.47,ZA,1694654055
302,felipe carrillo puerto,19.5833,-88.05,25.96,86,54,1.49,MX,1694654055
303,viedma,-40.8135,-62.9967,10.59,49,99,4.86,AR,1694654055
304,tocopilla,-22.092,-70.1979,19.46,59,0,5.01,CL,1694654056
305,morwell,-38.2333,146.4,24.11,25,89,0.55,AU,1694654056
306,badr hunayn,23.7829,38.7905,31.59,23,37,0.39,SA,1694653756
307,san ignacio de velasco,-16.3667,-60.95,16.0,81,100,3.84,BO,1694654056
308,lexington,37.9887,-84.4777,19.41,53,0,2.06,US,1694653829
309,bikenibeu village,1.3673,173.1241,31.98,66,20,2.06,KI,1694654057
310,ungsang-nodongjagu,42.3578,130.4622,18.87,66,0,0.45,KP,1694654057
311,amungan,15.3652,119.9582,28.59,74,100,2.26,PH,1694654057
312,kharan,28.5833,65.4167,27.01,32,4,3.05,PK,1694654057
313,bredasdorp,-34.5322,20.0403,10.65,73,100,4.8,ZA,1694654058
314,broome,42.2506,-75.833,15.94,87,0,0.45,US,1694654058
315,dudinka,69.4058,86.1778,10.9,89,100,8.94,RU,1694654059
